date,start,end,11WD8MOOR1C---BT,11WD8MOOR1C---AV
27012019,02:00,03:00,176,178
27012019,03:00,04:00,180,180
27012019,04:00,05:00,182,180
27012019,05:00,06:00,181,180
27012019,06:00,07:00,181,180
27012019,07:00,08:00,192,191
27012019,08:00,09:00,311,304
27012019,09:00,10:00,432,453
27012019,10:00,11:00,459,459
27012019,11:00,12:00,721,675
27012019,12:00,13:00,732,715
27012019,13:00,14:00,608,665
27012019,14:00,15:00,520,593
27012019,15:00,16:00,317,578
27012019,16:00,17:00,594,682
27012019,17:00,18:00,740,753
27012019,18:00,19:00,744,761
27012019,19:00,20:00,744,762
27012019,20:00,21:00,744,763
27012019,21:00,22:00,744,764
27012019,22:00,23:00,744,763
27012019,23:00,00:00,741,667
28012019,00:00,01:00,468,539
28012019,01:00,02:00,386,435
28012019,02:00,03:00,306,342
28012019,03:00,04:00,304,342
28012019,04:00,05:00,304,382
28012019,05:00,06:00,322,390
28012019,06:00,07:00,692,711
28012019,07:00,08:00,749,754
28012019,08:00,09:00,751,760
28012019,09:00,10:00,751,763
28012019,10:00,11:00,747,764
28012019,11:00,12:00,748,766
28012019,12:00,13:00,750,765
28012019,13:00,14:00,750,765
28012019,14:00,15:00,749,765
28012019,15:00,16:00,748,765
28012019,16:00,17:00,748,766
28012019,17:00,18:00,751,766
28012019,18:00,19:00,750,766
28012019,19:00,20:00,750,765
28012019,20:00,21:00,749,762
28012019,21:00,22:00,750,767
28012019,22:00,23:00,694,754
28012019,23:00,00:00,600,663
29012019,00:00,01:00,740,625
29012019,01:00,02:00,745,616
29012019,02:00,03:00,743,612
29012019,03:00,04:00,746,613
29012019,04:00,05:00,746,731
29012019,05:00,06:00,744,747
29012019,06:00,07:00,745,751
29012019,07:00,08:00,744,759
29012019,08:00,09:00,743,766
29012019,09:00,10:00,745,763
29012019,10:00,11:00,742,763
29012019,11:00,12:00,743,763
29012019,12:00,13:00,746,750
29012019,13:00,14:00,746,764
29012019,14:00,15:00,745,764
29012019,15:00,16:00,743,764
29012019,16:00,17:00,748,764
29012019,17:00,18:00,747,763
29012019,18:00,19:00,744,764
29012019,19:00,20:00,744,764
29012019,20:00,21:00,743,698
29012019,21:00,22:00,743,703
29012019,22:00,23:00,747,723
29012019,23:00,00:00,746,719
30012019,00:00,01:00,743,721
30012019,01:00,02:00,746,746
30012019,02:00,03:00,746,765
30012019,03:00,04:00,746,691
30012019,04:00,05:00,745,646
30012019,05:00,06:00,745,702
30012019,06:00,07:00,743,749
30012019,07:00,08:00,624,756
30012019,08:00,09:00,685,754
30012019,09:00,10:00,567,753
30012019,10:00,11:00,558,755
30012019,11:00,12:00,630,753
30012019,12:00,13:00,547,754
30012019,13:00,14:00,545,754
30012019,14:00,15:00,547,752
30012019,15:00,16:00,726,757
30012019,16:00,17:00,738,760
30012019,17:00,18:00,595,474
30012019,18:00,19:00,591,456
30012019,19:00,20:00,610,372
30012019,20:00,21:00,741,576
30012019,21:00,22:00,745,583
30012019,22:00,23:00,745,758
30012019,23:00,00:00,742,752
31012019,00:00,01:00,745,762
31012019,01:00,02:00,747,761
31012019,02:00,03:00,747,761
31012019,03:00,04:00,750,762
31012019,04:00,05:00,749,753
31012019,05:00,06:00,747,753
31012019,06:00,07:00,749,761
31012019,07:00,08:00,749,757
31012019,08:00,09:00,750,758
31012019,09:00,10:00,748,761
31012019,10:00,11:00,750,763
31012019,11:00,12:00,749,761
31012019,12:00,13:00,749,757
31012019,13:00,14:00,748,755
31012019,14:00,15:00,746,762
31012019,15:00,16:00,748,761
31012019,16:00,17:00,747,761
31012019,17:00,18:00,750,771
31012019,18:00,19:00,750,769
31012019,19:00,20:00,756,776
31012019,20:00,21:00,754,769
31012019,21:00,22:00,752,768
31012019,22:00,23:00,754,770
31012019,23:00,00:00,755,773
1022019,00:00,01:00,753,770
1022019,01:00,02:00,755,769
1022019,02:00,03:00,751,765
1022019,03:00,04:00,749,766
1022019,04:00,05:00,748,770
1022019,05:00,06:00,748,770
1022019,06:00,07:00,747,769
1022019,07:00,08:00,747,765
1022019,08:00,09:00,746,767
1022019,09:00,10:00,750,767
1022019,10:00,11:00,750,766
1022019,11:00,12:00,621,671
1022019,12:00,13:00,618,670
1022019,13:00,14:00,620,670
1022019,14:00,15:00,618,670
1022019,15:00,16:00,619,669
1022019,16:00,17:00,654,625
1022019,17:00,18:00,656,626
1022019,18:00,19:00,657,627
1022019,19:00,20:00,739,755
1022019,20:00,21:00,745,765
1022019,21:00,22:00,750,765
1022019,22:00,23:00,752,764
1022019,23:00,00:00,752,765
2022019,00:00,01:00,751,765
2022019,01:00,02:00,754,766
2022019,02:00,03:00,751,766
2022019,03:00,04:00,751,759
2022019,04:00,05:00,751,764
2022019,05:00,06:00,750,764
2022019,06:00,07:00,752,763
2022019,07:00,08:00,750,763
2022019,08:00,09:00,753,763
2022019,09:00,10:00,748,763
2022019,10:00,11:00,749,763
2022019,11:00,12:00,753,762
2022019,12:00,13:00,750,762
2022019,13:00,14:00,754,763
2022019,14:00,15:00,754,763
2022019,15:00,16:00,754,762
2022019,16:00,17:00,748,762
2022019,17:00,18:00,750,763
2022019,18:00,19:00,751,763
2022019,19:00,20:00,752,763
2022019,20:00,21:00,752,763
2022019,21:00,22:00,752,764
2022019,22:00,23:00,750,763
2022019,23:00,00:00,747,764
3022019,00:00,01:00,750,759
3022019,01:00,02:00,749,766
3022019,02:00,03:00,744,690
3022019,03:00,04:00,392,322
3022019,04:00,05:00,335,320
3022019,05:00,06:00,298,301
3022019,06:00,07:00,387,313
3022019,07:00,08:00,594,609
3022019,08:00,09:00,744,762
3022019,09:00,10:00,753,762
3022019,10:00,11:00,749,763
3022019,11:00,12:00,749,763
3022019,12:00,13:00,751,767
3022019,13:00,14:00,751,764
3022019,14:00,15:00,745,758
3022019,15:00,16:00,751,762
3022019,16:00,17:00,751,764
3022019,17:00,18:00,749,766
3022019,18:00,19:00,752,764
3022019,19:00,20:00,752,766
3022019,20:00,21:00,750,767
3022019,21:00,22:00,752,769
3022019,22:00,23:00,749,767
3022019,23:00,00:00,751,768
4022019,00:00,01:00,738,754
4022019,01:00,02:00,750,765
4022019,02:00,03:00,693,709
4022019,03:00,04:00,609,708
4022019,04:00,05:00,493,710
4022019,05:00,06:00,744,766
4022019,06:00,07:00,702,765
4022019,07:00,08:00,705,765
4022019,08:00,09:00,692,760
4022019,09:00,10:00,695,459
4022019,10:00,11:00,697,444
4022019,11:00,12:00,704,444
4022019,12:00,13:00,700,444
4022019,13:00,14:00,705,444
4022019,14:00,15:00,702,417
4022019,15:00,16:00,697,425
4022019,16:00,17:00,697,706
4022019,17:00,18:00,696,709
4022019,18:00,19:00,527,535
4022019,19:00,20:00,538,551
4022019,20:00,21:00,317,525
4022019,21:00,22:00,329,511
4022019,22:00,23:00,305,620
4022019,23:00,00:00,303,688
5022019,00:00,01:00,365,377
5022019,01:00,02:00,426,316
5022019,02:00,03:00,409,333
5022019,03:00,04:00,486,466
5022019,04:00,05:00,572,513
5022019,05:00,06:00,597,509
5022019,06:00,07:00,608,615
5022019,07:00,08:00,692,531
5022019,08:00,09:00,564,710
5022019,09:00,10:00,559,716
5022019,10:00,11:00,559,715
5022019,11:00,12:00,559,715
5022019,12:00,13:00,559,715
5022019,13:00,14:00,642,749
5022019,14:00,15:00,743,754
5022019,15:00,16:00,743,753
5022019,16:00,17:00,742,752
5022019,17:00,18:00,742,753
5022019,18:00,19:00,742,753
5022019,19:00,20:00,743,754
