date,start,end,11WD2STA4000065N
8022016,13:00,14:00,224
8022016,14:00,15:00,224
8022016,15:00,16:00,224
8022016,16:00,17:00,223
8022016,17:00,18:00,222
8022016,18:00,19:00,222
8022016,19:00,20:00,222
8022016,20:00,21:00,223
8022016,21:00,22:00,225
8022016,22:00,23:00,226
8022016,23:00,00:00,226
9022016,00:00,01:00,226
9022016,01:00,02:00,225
9022016,02:00,03:00,224
9022016,03:00,04:00,223
9022016,04:00,05:00,224
9022016,05:00,06:00,223
9022016,06:00,07:00,223
9022016,07:00,08:00,223
9022016,08:00,09:00,232
9022016,09:00,10:00,249
9022016,10:00,11:00,319
9022016,11:00,12:00,476
9022016,12:00,13:00,478
9022016,13:00,14:00,477
9022016,14:00,15:00,477
9022016,15:00,16:00,477
9022016,16:00,17:00,471
9022016,17:00,18:00,443
9022016,18:00,19:00,477
9022016,19:00,20:00,366
9022016,20:00,21:00,237
9022016,21:00,22:00,256
9022016,22:00,23:00,261
9022016,23:00,00:00,230
10022016,00:00,01:00,356
10022016,01:00,02:00,234
10022016,02:00,03:00,228
10022016,03:00,04:00,227
10022016,04:00,05:00,237
10022016,05:00,06:00,396
10022016,06:00,07:00,444
10022016,07:00,08:00,479
10022016,08:00,09:00,480
10022016,09:00,10:00,478
10022016,10:00,11:00,469
10022016,11:00,12:00,461
10022016,12:00,13:00,486
10022016,13:00,14:00,484
10022016,14:00,15:00,486
10022016,15:00,16:00,485
10022016,16:00,17:00,484
10022016,17:00,18:00,496
10022016,18:00,19:00,503
10022016,19:00,20:00,500
10022016,20:00,21:00,420
10022016,21:00,22:00,407
10022016,22:00,23:00,355
10022016,23:00,00:00,391
11022016,00:00,01:00,269
11022016,01:00,02:00,260
11022016,02:00,03:00,227
11022016,03:00,04:00,252
11022016,04:00,05:00,239
11022016,05:00,06:00,230
11022016,06:00,07:00,364
