date,start,end,11WD2S2610001015,11WD2S262000102W,11WD2S260000100F
29042019,02:00,03:00,74,0,31
29042019,03:00,04:00,70,0,30
29042019,04:00,05:00,103,0,34
29042019,05:00,06:00,113,0,37
29042019,06:00,07:00,114,26,42
29042019,07:00,08:00,102,98,75
29042019,08:00,09:00,115,112,81
29042019,09:00,10:00,114,110,81
29042019,10:00,11:00,96,92,74
29042019,11:00,12:00,72,69,63
29042019,12:00,13:00,70,66,61
29042019,13:00,14:00,70,67,61
29042019,14:00,15:00,70,67,60
29042019,15:00,16:00,70,67,60
29042019,16:00,17:00,70,67,58
29042019,17:00,18:00,70,67,59
29042019,18:00,19:00,72,68,62
29042019,19:00,20:00,66,68,61
29042019,20:00,21:00,1,77,34
29042019,21:00,22:00,0,68,31
29042019,22:00,23:00,0,22,8
29042019,23:00,00:00,0,0,0
30042019,00:00,01:00,0,0,0
30042019,01:00,02:00,0,0,0
30042019,02:00,03:00,0,0,0
30042019,03:00,04:00,0,0,0
30042019,04:00,05:00,0,0,0
30042019,05:00,06:00,0,0,0
30042019,06:00,07:00,0,0,0
30042019,07:00,08:00,0,0,0
30042019,08:00,09:00,0,0,0
30042019,09:00,10:00,0,0,0
30042019,10:00,11:00,0,0,0
30042019,11:00,12:00,0,0,0
30042019,12:00,13:00,0,0,0
30042019,13:00,14:00,0,0,0
30042019,14:00,15:00,0,0,0
30042019,15:00,16:00,0,0,0
30042019,16:00,17:00,0,0,0
30042019,17:00,18:00,0,0,0
30042019,18:00,19:00,0,0,0
30042019,19:00,20:00,0,0,0
30042019,20:00,21:00,0,0,0
30042019,21:00,22:00,0,0,0
30042019,22:00,23:00,0,0,0
30042019,23:00,00:00,0,0,0
1052019,00:00,01:00,0,0,0
1052019,01:00,02:00,0,0,0
1052019,02:00,03:00,0,0,0
1052019,03:00,04:00,0,0,0
1052019,04:00,05:00,0,0,0
1052019,05:00,06:00,0,0,0
1052019,06:00,07:00,0,0,0
1052019,07:00,08:00,0,0,0
1052019,08:00,09:00,0,0,0
1052019,09:00,10:00,0,0,0
1052019,10:00,11:00,0,0,0
1052019,11:00,12:00,0,0,0
1052019,12:00,13:00,0,0,0
1052019,13:00,14:00,0,0,0
1052019,14:00,15:00,0,0,0
1052019,15:00,16:00,0,0,0
1052019,16:00,17:00,0,0,0
1052019,17:00,18:00,0,0,0
1052019,18:00,19:00,0,0,0
1052019,19:00,20:00,0,0,0
1052019,20:00,21:00,0,0,0
1052019,21:00,22:00,0,0,0
1052019,22:00,23:00,0,0,0
1052019,23:00,00:00,0,0,0
2052019,00:00,01:00,0,0,0
2052019,01:00,02:00,0,0,0
2052019,02:00,03:00,0,0,0
2052019,03:00,04:00,0,0,0
2052019,04:00,05:00,0,0,0
2052019,05:00,06:00,0,0,0
2052019,06:00,07:00,0,0,0
2052019,07:00,08:00,0,0,0
2052019,08:00,09:00,0,0,0
2052019,09:00,10:00,0,0,0
2052019,10:00,11:00,0,0,0
2052019,11:00,12:00,0,0,0
2052019,12:00,13:00,0,0,0
2052019,13:00,14:00,0,0,0
2052019,14:00,15:00,0,0,0
2052019,15:00,16:00,0,0,0
2052019,16:00,17:00,0,0,0
2052019,17:00,18:00,0,0,0
2052019,18:00,19:00,0,0,0
2052019,19:00,20:00,0,0,0
2052019,20:00,21:00,0,0,0
2052019,21:00,22:00,0,0,0
2052019,22:00,23:00,0,0,0
2052019,23:00,00:00,0,0,0
3052019,00:00,01:00,0,0,0
3052019,01:00,02:00,0,0,0
3052019,02:00,03:00,0,0,0
3052019,03:00,04:00,0,0,0
3052019,04:00,05:00,0,0,0
3052019,05:00,06:00,0,0,0
3052019,06:00,07:00,0,0,0
3052019,07:00,08:00,0,0,0
3052019,08:00,09:00,0,0,0
3052019,09:00,10:00,0,0,0
3052019,10:00,11:00,0,0,0
3052019,11:00,12:00,0,0,0
3052019,12:00,13:00,0,0,0
3052019,13:00,14:00,0,0,0
3052019,14:00,15:00,0,0,0
3052019,15:00,16:00,0,0,0
3052019,16:00,17:00,0,0,0
3052019,17:00,18:00,0,0,0
3052019,18:00,19:00,0,0,0
3052019,19:00,20:00,0,0,0
3052019,20:00,21:00,0,0,0
3052019,21:00,22:00,0,0,0
3052019,22:00,23:00,0,0,0
3052019,23:00,00:00,0,0,0
4052019,00:00,01:00,0,0,0
4052019,01:00,02:00,0,0,0
4052019,02:00,03:00,0,0,0
4052019,03:00,04:00,0,0,0
4052019,04:00,05:00,0,0,0
4052019,05:00,06:00,0,0,0
4052019,06:00,07:00,0,0,0
4052019,07:00,08:00,0,0,0
4052019,08:00,09:00,0,0,0
4052019,09:00,10:00,0,0,0
4052019,10:00,11:00,0,0,0
4052019,11:00,12:00,0,0,0
4052019,12:00,13:00,0,0,0
4052019,13:00,14:00,0,0,0
4052019,14:00,15:00,0,0,0
4052019,15:00,16:00,0,0,0
4052019,16:00,17:00,0,0,0
4052019,17:00,18:00,0,0,0
4052019,18:00,19:00,0,0,0
4052019,19:00,20:00,0,0,0
4052019,20:00,21:00,0,0,0
4052019,21:00,22:00,0,0,0
4052019,22:00,23:00,0,0,0
4052019,23:00,00:00,0,0,0
5052019,00:00,01:00,0,0,0
5052019,01:00,02:00,0,0,0
5052019,02:00,03:00,0,0,0
5052019,03:00,04:00,0,0,0
5052019,04:00,05:00,0,0,0
5052019,05:00,06:00,0,0,0
5052019,06:00,07:00,0,0,0
5052019,07:00,08:00,0,0,0
5052019,08:00,09:00,0,0,0
5052019,09:00,10:00,0,0,0
5052019,10:00,11:00,0,0,0
5052019,11:00,12:00,0,0,0
5052019,12:00,13:00,0,0,0
5052019,13:00,14:00,0,0,0
5052019,14:00,15:00,0,0,0
5052019,15:00,16:00,0,0,0
5052019,16:00,17:00,0,0,0
5052019,17:00,18:00,0,0,0
5052019,18:00,19:00,0,0,0
5052019,19:00,20:00,0,0,0
5052019,20:00,21:00,0,0,0
5052019,21:00,22:00,0,0,0
5052019,22:00,23:00,0,0,0
5052019,23:00,00:00,0,0,0
6052019,00:00,01:00,0,0,0
6052019,01:00,02:00,0,0,0
6052019,02:00,03:00,0,0,0
6052019,03:00,04:00,0,0,0
6052019,04:00,05:00,0,0,0
6052019,05:00,06:00,0,0,0
6052019,06:00,07:00,0,0,0
6052019,07:00,08:00,0,0,0
6052019,08:00,09:00,0,0,0
6052019,09:00,10:00,0,0,0
6052019,10:00,11:00,0,0,0
6052019,11:00,12:00,0,0,0
6052019,12:00,13:00,0,0,0
6052019,13:00,14:00,0,0,0
6052019,14:00,15:00,0,0,0
6052019,15:00,16:00,0,0,0
6052019,16:00,17:00,0,0,0
6052019,17:00,18:00,0,0,0
6052019,18:00,19:00,0,0,0
6052019,19:00,20:00,0,0,0
6052019,20:00,21:00,0,0,0
6052019,21:00,22:00,0,0,0
6052019,22:00,23:00,0,0,0
6052019,23:00,00:00,0,0,0
7052019,00:00,01:00,0,0,0
7052019,01:00,02:00,0,0,0
7052019,02:00,03:00,0,0,0
7052019,03:00,04:00,0,0,0
7052019,04:00,05:00,0,0,0
7052019,05:00,06:00,0,0,0
7052019,06:00,07:00,0,0,0
7052019,07:00,08:00,0,0,0
7052019,08:00,09:00,0,0,0
7052019,09:00,10:00,0,0,0
7052019,10:00,11:00,0,0,0
7052019,11:00,12:00,0,0,0
7052019,12:00,13:00,0,0,0
7052019,13:00,14:00,0,0,0
7052019,14:00,15:00,0,0,0
7052019,15:00,16:00,0,0,0
7052019,16:00,17:00,0,0,0
7052019,17:00,18:00,0,0,0
7052019,18:00,19:00,0,0,0
7052019,19:00,20:00,0,0,0
7052019,20:00,21:00,0,0,0
7052019,21:00,22:00,0,0,0
7052019,22:00,23:00,0,0,0
7052019,23:00,00:00,0,0,0
8052019,00:00,01:00,0,0,0
8052019,01:00,02:00,0,0,0
8052019,02:00,03:00,0,0,0
8052019,03:00,04:00,0,0,0
8052019,04:00,05:00,0,0,0
8052019,05:00,06:00,0,0,0
8052019,06:00,07:00,0,0,0
8052019,07:00,08:00,0,0,0
8052019,08:00,09:00,0,0,0
8052019,09:00,10:00,0,0,0
8052019,10:00,11:00,0,0,0
8052019,11:00,12:00,0,0,0
8052019,12:00,13:00,0,0,0
8052019,13:00,14:00,0,0,0
8052019,14:00,15:00,0,0,0
8052019,15:00,16:00,0,0,0
8052019,16:00,17:00,0,0,0
8052019,17:00,18:00,0,0,0
8052019,18:00,19:00,0,0,0
8052019,19:00,20:00,0,0,0
8052019,20:00,21:00,0,0,0
8052019,21:00,22:00,0,0,0
8052019,22:00,23:00,0,0,0
8052019,23:00,00:00,0,0,0
9052019,00:00,01:00,0,0,0
9052019,01:00,02:00,0,0,0
9052019,02:00,03:00,0,0,0
9052019,03:00,04:00,0,0,0
9052019,04:00,05:00,0,0,0
9052019,05:00,06:00,0,0,0
9052019,06:00,07:00,0,0,0
9052019,07:00,08:00,0,0,0
9052019,08:00,09:00,0,0,0
9052019,09:00,10:00,0,0,0
9052019,10:00,11:00,0,0,0
9052019,11:00,12:00,0,0,0
9052019,12:00,13:00,0,0,0
9052019,13:00,14:00,0,0,0
9052019,14:00,15:00,0,0,0
